stationReference,stationName,latitude,longitude,easting,northing
3616,Rainfall station,53.22531,-1.701132,420050.5104823127,369848.8220425274
3629,Rainfall station,52.78808,-1.097664,460950.5116284537,321548.89440369955
3641,Rainfall station,52.738326,-1.320862,445950.52322585526,315848.93842968956
3642,Rainfall station,52.762972,-1.234524,451750.57042017643,318648.97073776677
3652,Rainfall station,52.836792,-1.251041,450550.56603062514,326848.8906793411
3680,Rainfall station,52.73152,-0.995167,467950.53063243674,315348.99013147183
3683,Rainfall station,52.697431,-1.117291,459750.51756686723,311448.9827195578
3686,Rainfall station,52.544833,-1.031877,465750.5139667415,294549.07935162674
3687,Rainfall station,52.723063,-0.765859,483450.55861183075,314649.0251786862
3688,Rainfall station,52.6315,-1.077247,462550.51668493566,304149.06074357737
3766,Rainfall station,53.005795,-1.251101,450350.5369827954,345648.90860277234
3767,Rainfall station,53.022009,-1.417793,439150.5160016559,347348.8763740394
3771,Rainfall station,52.948025,-1.088386,461350.56314903666,339348.864205666
3773,Rainfall station,53.032232,-1.050823,463750.54746264144,348748.8102416373
3774,Rainfall station,53.579885,-0.869434,474950.54784069426,409848.6254668404
3775,Rainfall station,53.07731,-1.190151,454350.5534602077,353648.85621846933
3778,Rainfall station,52.687955,-1.796533,413850.5394614666,310048.9400064601
3779,Rainfall station,53.591168,-0.7392,483550.5250589029,411248.61643621017
3781,Rainfall station,52.49028,-1.866665,409150.52190277405,288049.05862624384
380002TP,Rainfall station,51.571638,-0.289354,518650.5737798165,187249.38562741468
3816,Rainfall station,53.130665,-1.23847,451050.559848139,359548.81898216397
3860,Rainfall station,53.407215,-1.191422,453850.563654368,390348.6636387186
3861,Rainfall station,53.521199,-1.045964,463350.5459803837,403148.6951788635
3901,Rainfall station,53.305797,-1.088289,460850.5614155454,379148.760460917
3996,Rainfall station,52.897989,-0.911045,473350.5138886292,333948.9478365924
3998,Rainfall station,53.396184,-0.931457,471150.531781675,389348.7439640836
3999,Rainfall station,52.564065,-1.199634,454350.53861272096,296548.9872616617
4103,Rainfall station,53.114911,-2.223306,385150.5644878764,357548.86773766106
417417TP,Rainfall station,51.466604,-0.571144,499350.56366446574,175149.48253174464
43102,Rainfall station,51.067961,-2.063451,395650.5431445437,129849.6306864654
43103,Rainfall station,51.164146,-1.894828,407450.5576022885,140549.59335705434
43104,Rainfall station,51.220377,-1.669896,423150.57205344556,146849.5409529765
43105,Rainfall station,51.358394,-1.927417,405150.54451677157,162149.56077451856
43200,Rainfall station,51.044768,-2.4129,371150.55471755913,127349.66083935455
43201,Rainfall station,51.085428,-2.353299,375350.5146389961,131849.63144006298
43202,Rainfall station,50.896473,-2.390258,372650.52562318,110849.7184062075
43203,Rainfall station,51.03167,-2.281587,380350.52792380773,125849.64690381452
43204,Rainfall station,50.864669,-2.139905,390250.52119824325,107249.68914981541
43205,Rainfall station,50.755028,-1.936857,404550.5112618805,95049.76333420753
43206,Rainfall station,50.755798,-1.814938,413150.5221009873,95149.7844947545
43228,Rainfall station,50.968057,-2.158729,388950.5372851498,118749.67025637429
44100,Rainfall station,50.778033,-2.848812,340250.53755714546,97949.73860330564
44101,Rainfall station,50.800366,-2.738533,348050.52534374513,100349.72335003245
44103,Rainfall station,50.707087,-2.698828,350750.567686172,89949.82622523862
44104,Rainfall station,50.671274,-2.491689,365350.56626977446,85849.75236905561
44132,Rainfall station,50.658982,-2.415165,370750.53747860563,84449.75879021284
44200,Rainfall station,50.837132,-2.59994,357850.56519724545,104349.74366442495
44201,Rainfall station,50.613852,-1.958246,403050.51497359335,79349.78974257676
44213,Rainfall station,50.825864,-2.686403,351750.53159350605,103149.73249548866
44214,Rainfall station,50.842091,-2.502005,364750.5413576214,104849.75545285195
44215,Rainfall station,50.743404,-2.638425,355050.57048309187,93949.75415287525
45100,Rainfall station,51.161592,-3.769689,276350.5569026586,141749.5408051194
45102,Rainfall station,51.129849,-3.534087,292750.558155067,137849.56935980046
45108,Rainfall station,50.884946,-3.487642,295450.5527464929,110549.75440297532
45113,Rainfall station,50.775637,-3.719618,278850.54702025343,98749.76961905154
45115,Rainfall station,50.601997,-3.530985,291750.5719582052,79149.79105737784
45158,Rainfall station,51.06991,-3.643436,284950.56973577774,131349.64307283063
